Item,Quantity,Cost ($),URL,Vendor,Total
SG90 360° servo motor 3pcs,1,4.62,https://www.aliexpress.com/item/1005005310063582.html?spm=a2g0o.productlist.main.8.4d1b1e4eRxYDnA&aem_p4p_detail=202603111040045510727509722250000072842&algo_pvid=e656422d-4ddc-43a8-a640-3848b0b5fec7&algo_exp_id=e656422d-4ddc-43a8-a640-3848b0b5fec7-7&pdp_ext_f=%7B%22order%22%3A%22943%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%213.53%210.76%21%21%2131.60%216.78%21%40210385db17732508043394221ed993%2112000032581130170%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197842857&curPageLogUid=5EMKYWtYPEn4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005310063582%7C_p_origin_prod%3A&search_p4p_id=202603111040045510727509722250000072842_2,AliExpress,4.62
RC522 module,1,1.29,https://www.aliexpress.com/item/1005006441061112.html?spm=a2g0o.productlist.main.1.41122432CTmGtw&algo_pvid=5cfec7e4-b6d9-498d-b132-9e65cfa8de13&algo_exp_id=5cfec7e4-b6d9-498d-b132-9e65cfa8de13-0&pdp_ext_f=%7B%22order%22%3A%224975%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.51%210.51%21%21%213.49%213.49%21%40211b653717732512564262609e4ab9%2112000037176400098%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895&curPageLogUid=9xwa73kRGVRp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006441061112%7C_p_origin_prod%3A,AliExpress,1.29
5MM Light Emitting Diodes Electronics Kit Box F3 F5 LED Diode Assorted Kit,1,2.88,https://www.aliexpress.com/item/1005004543292837.html?spm=a2g0o.productlist.main.2.645836f3Dwgfns&algo_pvid=740bda1b-9aa8-4ed4-8cb8-8a988b9652ee&algo_exp_id=740bda1b-9aa8-4ed4-8cb8-8a988b9652ee-1&pdp_ext_f=%7B%22order%22%3A%227995%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.58%210.99%21%21%2110.78%216.75%21%402103849717732515695267315ebcf1%2112000029546625275%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197842856&curPageLogUid=vBeAjtTDarnR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004543292837%7C_p_origin_prod%3A,AliExpress,2.88
Assorted Electrolytic capacitor kit 120pcs,1,4.16,https://www.aliexpress.com/item/1005005661484224.html?spm=a2g0o.productlist.main.10.1688dcsUdcsUbV&algo_pvid=f997c25f-65d3-4e2a-919d-9dad16c61351&algo_exp_id=f997c25f-65d3-4e2a-919d-9dad16c61351-9&pdp_ext_f=%7B%22order%22%3A%221494%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.17%210.99%21%21%2128.45%216.73%21%40210390c917732519536912558e70af%2112000033932001128%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197842857&curPageLogUid=ZUkhXYdLh8eC&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005661484224%7C_p_origin_prod%3A,AliExpress,4.16
M3 Headset insert assorted kit,1,4.94,https://www.aliexpress.com/item/1005006472962973.html?spm=a2g0o.productlist.main.3.7892541abPUurV&algo_pvid=f27cbf63-a797-47fc-834c-397c59b6d60d&algo_exp_id=f27cbf63-a797-47fc-834c-397c59b6d60d-2&pdp_ext_f=%7B%22order%22%3A%2218787%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.96%210.99%21%21%2133.86%216.74%21%40211b813f17732524995403394e7f13%2112000037324316041%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197842857&curPageLogUid=ni6CXoPvNdtc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006472962973%7C_p_origin_prod%3A,AliExpress,4.94
M3 spacer 4mm H 10pcs,1,1.15,https://www.aliexpress.com/item/1005006915134966.html?spm=a2g0o.productlist.main.6.47b034a3MkgpVd&algo_pvid=90fd86a3-aeb8-43a1-a9f4-67dfe6595ed0&algo_exp_id=90fd86a3-aeb8-43a1-a9f4-67dfe6595ed0-5&pdp_ext_f=%7B%22order%22%3A%228357%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.20%210.99%21%21%211.20%210.99%21%40211b80e117732527070641264e4687%2112000038714835252%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197842857&curPageLogUid=MaqOvrXhgtMa&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006915134966%7C_p_origin_prod%3A,AliExpress,1.15
20 Pcs 10 Pairs 40 Pin 1x40 Single Row Male And Female 2.54 Breakable Pin Header PCB Connector Strip,1,2.36,https://www.aliexpress.com/item/1005008559565009.html?spm=a2g0o.productlist.main.11.4132665e5U6r0V&algo_pvid=4f56527c-4faa-43bb-b4c7-b9af9bc3d9eb&algo_exp_id=4f56527c-4faa-43bb-b4c7-b9af9bc3d9eb-10&pdp_ext_f=%7B%22order%22%3A%22847%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.37%210.99%21%21%2116.18%216.74%21%40211b81a317733116331474815e2830%2112000045717063746%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197842857&curPageLogUid=BqjJbkfmWVMf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008559565009%7C_p_origin_prod%3A,AliExpress,2.36
100pcs 330ohm Resistors,1,1.91,https://www.aliexpress.com/item/1005003923602966.html?spm=a2g0o.productlist.main.19.6e067cfcAdwJyh&algo_pvid=4669b54b-7f9e-4623-ba2a-51509d4abccd&algo_exp_id=4669b54b-7f9e-4623-ba2a-51509d4abccd-18&pdp_ext_f=%7B%22order%22%3A%225751%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.70%210.99%21%21%211.70%210.99%21%40211b617b17733132764046771e8437%2112000028663933081%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895%3BpisId%3A5000000197842855&curPageLogUid=jXFSVmhfiauj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003923602966%7C_p_origin_prod%3A,AliExpress,1.91
100pcs 100nF cermacic capacitors,1,1.48,https://www.aliexpress.com/item/1005002290441861.html?spm=a2g0o.productlist.main.13.623e4f40R3NvHD&algo_pvid=5c38a774-44f4-48a2-988c-397693bf872d&algo_exp_id=5c38a774-44f4-48a2-988c-397693bf872d-12&pdp_ext_f=%7B%22order%22%3A%223239%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.14%211.14%21%21%211.14%211.14%21%402103867617734185527031235e650e%2112000020462004307%21sea%21UK%217410481133%21ABX%211%210%21n_tag%3A-29910%3Bd%3Adaea39cf%3Bm03_new_user%3A-29895&curPageLogUid=19AxGaqwAapf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002290441861%7C_p_origin_prod%3A,AliExpress,1.48
600 Pcs M3 Bolts and Nuts Set,1,8.71,https://www.amazon.co.uk/KOXXIAMOQ-Washers-Mechanical-Fastener-Assortment/dp/B0CJ6L82T8/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.ucN2yfw8AxpU10liSn1E5ha7CnNAAN_61P8zIPbQ5822wf7rK1Pf6CFj68onp6G59rKN3DhKhqHX9UfUysdJgMLjwZnN5N9Inix3Y1H-xFpZqz9pQaTbLfW0XqLy-nLs0cUyHRXxZKfOY7nAO3dZ232LCX-PSN9RWnbPy_1GiO2nQ5nuVWOUjfzZy17tW-KpwtJK_nC5cEgRzWqObr2FKAUjRM_ah8K_E1_TUQBm2cnbadr0PUWihurGs1K3A6JwVNQDXUnRJ-KKOJ3drept8SRF7jWDA2NNQhgBSIXSwlM.DbFv-CruIhAvqh7ybhqEzX--jqCwSSb3NaOwi_LFZfE&dib_tag=se&keywords=m3+screws&qid=1771347594&sr=8-2-spons&aref=DAYB8YyfwM&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,Amazon,8.71
XIAO RP2040,1,5.23,https://thepihut.com/products/seeed-xiao-rp2040?srsltid=AfmBOorBDf4Dll7L19Yn1Iy_7KZ4FYYfjCTMb0oi2A0CxQTC_q837AwU,The Pi hut,5.23
PCB,1,3.1,https://cart.jlcpcb.com/quote?spm=Jlcpcb.Homepage.1006&spm=Jlcpcb.Homepage.1006,JLCPCB,3.1
Shipping total,1,6.14,N/A,N/A,6.14
TOTAL,9,41.83,N/A,N/A,47.97
